4,20,7,7,1,47,38,7,2,32,6,6,26,20,35,25,46,5,42,3,4,25,5,49,3,24,40,23,5,2,1,35,2,5,29,0,3,8,0,53,3,2,1,30,19,40,0,42,40,0,4,23,1,5,17,49,15,27,29,30,7,2,4,10,22,8,0,0,3,5,30,17,40,7,11,36,2,1,5,27,4,3,19,4,65,1,32,45,6,30,11,3,3,5,14,5,28,25,2,7,46,7,23,7,30,7,1,26,34,0,26,1,13,24,3,8,0,1,1,11,35,20,26,30,1,14,2,55,2,23,5,5,1,2,6,43,6,2,7,2,22,3,31,44,1,29,12,2,0,1,11,13,7,39,42,0,8,38,27,13,28,55,1,4,5,31,16,11,38,10
40,31,3,46,9,33,44,2,6,5,1,42,26,31,3,7,31,3,42,14,16,25,2,3,6,7,6,15,47,8,1,43,9,2,27,26,38,22,5,23,5,8,2,30,7,26,28,6,28,1,42,6,5,9,8,46,0,4,0,14,1,40,4,14,8,2,3,7,2,3,1,5,1,6,5,1,7,2,4,2,1,4,6,7,46,6,0,1,5,3,5,2,7,1,6,3,40,0,12,4,25,7,9,0,22,2,19,6,32,35,29,31,44,20,31,0,30,4,1,30,3,25,7,1,2,5,18,0,6,34,54,47,44,4,37,7,36,7,37,27,0,0,42,30,2,41,0,0,2,3,3,32,3,4,2,37,3,2,8,0,4,5,2,18,31,3,51,22,2,46
15,16,33,32,8,1,23,23,43,9,24,0,3,0,1,3,34,40,6,29,16,4,6,5,24,32,4,1,27,5,35,7,6,12,5,2,42,21,1,3,2,28,7,9,37,6,29,34,32,23,33,1,25,2,4,18,2,38,4,10,24,36,46,2,33,37,7,9,8,30,30,27,6,17,6,28,8,8,5,9,1,7,0,36,37,4,36,28,29,20,7,39,4,5,2,6,33,0,1,32,36,32,1,4,7,41,2,3,6,24,3,0,21,10,4,10,4,15,22,2,7,17,8,21,2,6,0,20,7,6,20,44,33,1,30,43,1,34,6,6,43,4,2,29,7,31,2,17,41,1,5,1,7,5,7,30,1,4,4,24,36,34,42,30,29,47,5,26,3,42
29,55,2,29,25,42,40,5,31,1,25,37,4,3,31,5,22,9,0,33,6,28,2,6,8,13,1,2,4,12,3,29,23,3,37,35,4,42,28,2,29,22,26,32,5,35,3,24,15,18,35,1,41,5,7,3,1,1,38,1,1,38,1,31,4,35,32,3,24,17,27,10,3,3,5,39,9,2,4,0,25,1,18,39,36,32,0,4,1,2,42,4,35,47,34,15,29,51,29,30,39,27,35,5,2,0,31,32,41,15,6,15,14,1,40,1,34,10,0,25,10,28,45,2,14,24,50,1,3,31,6,20,20,18,12,2,39,9,3,25,3,9,9,4,3,29,3,0,30,4,0,0,6,2,3,5,4,3,30,5,41,6,1,7,38,6,4,2,4,7
3,7,37,3,32,37,33,1,1,28,0,7,30,1,7,47,24,5,15,3,31,4,1,3,4,38,4,9,26,6,5,4,7,16,28,3,15,20,42,6,6,52,30,0,2,2,1,1,0,1,7,4,28,1,6,5,17,21,41,28,1,6,0,2,8,1,3,10,35,5,5,1,29,7,5,8,31,4,3,6,11,28,2,52,28,4,5,2,10,0,4,34,0,0,0,2,1,2,4,1,26,3,50,5,34,0,4,5,47,6,37,7,9,24,1,1,34,7,2,42,4,5,6,22,7,10,31,16,38,51,3,0,5,28,14,1,0,7,5,7,2,2,2,13,66,1,25,8,0,31,5,7,2,5,0,6,45,7,5,0,47,1,6,3,4,46,9,4,2,23
36,40,3,34,45,32,3,0,6,4,3,4,48,2,0,3,30,4,9,2,1,39,36,3,32,1,37,1,2,12,4,6,2,50,2,4,3,7,27,3,2,5,2,3,4,3,5,1,3,7,7,39,2,0,5,1,3,0,46,33,1,4,31,3,2,1,43,22,40,1,4,0,3,4,6,39,4,4,2,38,9,51,37,3,5,1,43,2,2,47,3,0,3,0,48,47,10,4,5,6,0,21,11,3,6,1,0,43,2,6,5,0,11,43,7,4,5,8,41,1,25,3,1,48,3,9,5,35,8,34,6,38,5,16,35,4,2,0,0,5,1,7,28,7,45,29,1,30,37,43,5,24,23,3,10,45,46,4,22,9,4,47,7,2,39,47,9,8,1,10
0,5,7,0,22,30,4,20,5,40,7,2,3,3,5,40,1,11,7,20,4,5,1,3,5,3,1,31,26,54,10,7,4,6,37,25,5,6,0,1,2,22,4,21,2,52,20,44,3,7,24,54,41,1,27,36,0,4,7,2,26,0,6,0,6,26,0,4,1,6,34,28,3,45,51,6,25,2,4,46,2,32,10,8,39,38,6,3,3,31,26,6,27,27,25,0,3,4,4,7,3,3,7,6,0,33,3,10,15,35,0,56,3,3,2,2,33,46,2,4,2,2,0,2,0,23,4,1,32,3,40,6,10,28,38,22,40,29,1,8,32,8,3,45,33,2,4,3,21,42,12,3,45,31,6,5,3,7,41,5,7,5,32,40,6,47,9,35,9,53
31,5,2,26,2,6,4,43,35,1,2,0,0,3,3,3,2,2,3,23,12,2,16,4,2,37,3,12,2,1,8,10,6,1,4,14,38,6,17,4,1,1,4,2,35,36,9,0,4,2,45,4,6,20,57,27,1,47,2,1,35,40,5,6,3,7,2,5,3,5,7,63,4,9,4,7,32,56,1,29,10,1,1,8,39,36,2,23,26,45,5,3,4,65,19,3,39,4,39,11,3,4,4,0,28,53,1,3,47,5,5,15,38,35,3,7,2,1,4,2,23,5,5,28,3,2,0,38,5,19,2,39,52,5,5,53,4,4,27,3,25,5,0,6,28,2,5,5,1,6,6,2,7,5,45,7,6,2,3,4,8,2,9,39,4,0,1,5,1,8
2,6,2,2,41,13,3,38,3,18,4,22,5,1,30,44,7,13,3,24,1,0,21,3,3,24,0,32,4,39,11,9,34,1,0,24,3,6,6,8,4,3,46,35,35,36,3,4,40,3,45,0,48,36,4,4,56,10,5,25,5,5,3,24,25,38,22,3,7,46,34,6,2,42,32,31,29,44,11,4,22,1,9,30,34,3,6,9,35,0,9,3,7,2,4,0,39,5,36,9,1,41,20,38,0,14,8,4,37,1,0,7,8,24,32,3,5,3,3,4,37,8,6,6,3,7,33,8,25,34,5,2,42,3,5,5,0,39,6,45,4,1,5,9,25,34,28,33,35,2,28,43,20,1,22,2,3,36,28,4,0,4,26,24,13,4,3,34,8,2
2,6,20,0,28,0,33,5,3,17,1,4,36,40,31,4,0,23,29,8,28,36,29,6,4,32,3,6,21,2,41,2,8,1,31,6,32,43,3,2,35,4,1,7,27,2,3,4,22,0,46,23,37,4,32,4,12,5,27,29,3,3,7,8,32,26,30,2,27,12,3,9,15,1,7,9,0,29,20,3,37,2,44,23,28,36,6,7,4,35,9,1,24,3,2,3,33,5,29,27,25,1,56,32,31,28,43,41,2,2,4,34,23,29,20,5,19,8,8,38,5,32,26,0,4,2,1,6,5,9,24,30,36,3,2,8,47,0,2,1,7,44,15,2,0,44,1,4,6,10,7,2,3,31,35,13,47,9,28,3,28,3,37,4,3,38,5,26,42,33
