88,42,3,14,5,2,8,8,0,9,89,78,7,100,4,4,76,7,2,12
87,94,3,79,12,9,5,112,96,97,6,4,4,87,32,10,4,8,1,8
1,96,84,5,12,72,7,9,105,7,6,13,69,77,4,9,8,10,68,110
8,112,94,93,6,10,9,79,64,62,4,9,67,8,83,9,57,87,6,99
121,8,78,4,9,66,61,4,9,94,7,75,5,5,70,7,87,41,3,81
3,93,6,83,93,89,7,90,66,6,101,81,86,90,14,9,79,2,97,6
78,4,86,12,10,4,4,6,10,51,61,93,3,8,66,92,6,76,106,84
11,7,3,6,110,7,11,7,1,14,1,10,97,88,2,12,7,92,10,88
104,91,93,86,9,75,95,2,10,94,9,97,90,85,97,77,110,4,67,2
97,4,103,15,6,64,6,7,6,8,75,7,11,69,77,6,79,10,14,4
88,66,2,74,7,9,101,57,8,67,89,90,6,6,16,73,3,99,9,9
11,93,68,67,85,78,6,87,5,77,88,78,2,80,10,4,88,5,44,11
5,10,84,75,45,6,73,104,8,4,8,69,0,5,59,80,58,6,74,91
100,3,10,94,11,78,3,7,8,86,11,31,2,64,37,86,75,71,4,43
4,8,6,107,108,5,8,4,79,7,75,7,76,70,98,92,57,3,7,9
10,9,8,80,96,73,6,100,5,6,92,85,3,79,76,2,8,10,85,6
11,7,94,72,95,91,6,71,103,6,3,77,67,3,84,9,8,8,80,9
66,92,87,9,4,2,9,4,8,63,6,69,14,105,1,89,116,6,58,80
79,7,66,49,71,1,80,3,83,8,11,99,99,77,91,3,101,77,6,7
4,53,99,58,98,7,73,97,12,87,80,3,8,12,93,10,83,69,4,7
8,54,7,37,3,69,103,6,78,9,74,2,91,86,64,11,6,67,11,8
5,103,10,109,5,92,99,75,6,73,7,83,9,5,75,13,4,58,90,64
7,92,2,75,79,5,93,8,7,8,5,87,0,3,104,32,5,4,5,10
100,78,85,87,106,78,84,89,7,7,9,2,9,8,67,12,11,89,110,10
108,53,7,85,83,95,8,12,87,69,7,10,6,85,0,32,11,2,94,91
89,87,74,2,78,4,5,99,88,4,3,10,73,64,73,9,87,82,81,62
7,71,83,7,68,69,75,5,6,3,7,9,7,80,99,79,3,6,91,7
2,77,65,72,88,6,13,94,64,101,67,7,87,6,82,73,92,3,101,0
77,7,87,7,9,11,8,3,7,80,6,103,63,11,9,10,8,65,6,86
4,88,88,73,90,12,13,69,81,7,108,80,68,73,5,10,87,74,78,61
62,35,48,2,53,73,66,7,67,32,6,4,37,88,88,75,3,8,6,30
68,2,66,6,16,103,8,62,55,7,5,52,3,6,58,83,88,91,84,64
75,11,80,11,9,84,7,70,3,4,93,71,4,91,7,8,71,8,7,5
5,6,77,3,5,12,85,3,63,86,37,67,89,5,7,83,9,96,7,91
5,7,11,92,6,97,10,54,78,8,6,4,78,5,57,80,9,17,92,72
12,4,88,84,97,5,12,8,10,9,6,7,4,14,2,7,91,9,56,112
8,64,78,14,98,6,5,106,79,24,86,9,7,90,5,87,7,100,6,101
7,70,57,8,9,81,71,49,87,10,6,72,2,79,96,6,3,71,11,79
73,8,9,78,4,99,10,82,6,84,68,79,93,68,6,72,78,7,93,70
101,11,11,83,84,10,1,77,81,73,94,5,94,83,84,72,83,90,6,5
62,9,2,11,14,11,83,4,80,57,5,89,95,74,92,95,88,117,86,58
85,78,95,9,10,10,70,60,6,8,66,5,76,7,7,9,93,2,97,74
9,88,5,93,96,1,12,4,4,6,94,9,12,23,9,81,5,77,7,76
7,5,4,5,8,8,88,84,6,97,107,6,75,12,93,8,4,4,82,6
4,5,58,69,76,78,84,23,92,81,32,61,69,91,81,71,82,7,59,75
76,7,11,86,7,113,65,13,93,8,30,7,42,9,87,103,9,83,69,88
101,8,7,13,5,4,5,5,85,96,51,71,9,7,90,8,91,87,62,82
99,70,0,11,62,9,11,88,11,82,78,62,89,95,6,1,49,8,71,4
10,109,12,3,87,92,63,4,86,96,1,77,94,8,2,72,80,8,30,6
7,78,1,8,61,98,5,8,73,7,75,7,79,10,6,8,67,2,96,6
82,4,71,10,5,104,4,9,75,8,72,2,73,81,6,63,98,79,11,91
10,9,90,10,75,5,6,8,3,33,10,7,7,4,8,74,8,81,8,66
67,115,10,5,84,9,8,9,1,76,68,6,7,108,11,8,4,57,13,6
7,84,8,79,5,4,94,87,67,70,65,10,12,78,59,6,88,2,4,69
75,0,58,15,7,2,111,100,104,62,64,67,92,34,10,12,6,3,43,12
8,103,6,9,103,6,65,4,66,3,3,9,110,13,84,7,107,90,6,5
97,81,11,1,96,6,4,8,83,9,5,5,79,3,84,84,100,90,3,82
6,87,7,65,96,6,97,5,71,5,79,78,82,88,5,12,67,75,4,8
9,70,98,88,10,5,85,96,7,4,1,86,6,5,72,79,11,48,3,5
9,9,72,8,3,109,82,6,7,76,76,3,81,6,7,93,11,9,6,10
6,10,78,10,8,4,68,15,33,7,12,49,10,8,4,10,96,6,4,69
7,77,93,78,69,82,3,83,75,4,95,4,78,7,5,5,13,10,8,75
5,86,5,73,88,70,6,6,99,3,11,98,11,3,6,84,7,85,81,34
8,80,1,75,78,6,73,82,5,8,5,88,3,60,10,1,60,66,5,95
92,10,11,110,77,9,9,5,78,11,0,7,9,100,44,9,7,3,9,1
69,5,6,85,9,9,5,96,90,72,7,84,6,5,105,5,9,73,66,37
84,75,77,2,9,9,83,6,8,49,73,74,8,11,7,8,93,4,98,62
8,0,6,69,9,3,100,33,76,88,3,4,10,106,10,116,5,54,88,8
75,79,12,79,97,5,9,98,7,84,4,67,90,76,8,0,12,8,107,84
98,9,44,93,94,7,2,3,9,69,86,88,80,9,72,62,6,68,11,92
2,93,2,6,10,75,8,11,5,13,68,6,107,52,58,9,8,10,11,7
92,99,6,84,5,6,83,77,86,1,72,12,11,78,100,78,9,84,80,6
109,0,5,9,7,86,6,8,12,74,2,4,1,83,93,68,97,78,5,7
12,10,13,16,98,86,8,6,103,13,2,8,4,80,1,86,83,5,96,83
5,108,78,81,10,10,71,4,5,103,3,7,7,6,0,82,86,87,6,90
4,6,9,92,14,75,73,7,85,3,71,72,4,79,62,84,89,10,85,98
10,89,10,3,6,3,80,2,13,7,97,61,81,4,90,6,96,28,8,8
69,6,93,10,105,5,9,8,70,2,7,4,98,67,90,9,7,77,96,13
5,86,84,87,100,1,6,6,86,74,7,111,70,84,7,6,4,101,81,2
3,6,2,9,56,11,13,4,5,2,4,4,3,80,95,91,5,11,65,80
4,90,5,88,89,71,7,80,9,11,11,4,13,82,5,7,78,10,54,6
6,5,4,13,4,6,78,10,85,84,2,9,98,11,7,9,0,10,5,107
102,14,4,72,13,6,96,69,5,5,6,79,4,7,79,81,92,13,71,9
4,8,11,9,86,95,13,83,85,4,7,8,45,86,28,26,5,60,78,7
6,90,2,6,7,112,76,103,10,85,5,68,2,25,11,78,6,1,6,100
6,9,6,62,70,9,13,14,62,96,78,3,73,7,97,11,96,8,82,68
13,99,4,63,78,5,69,11,67,99,66,1,93,71,9,5,73,73,7,95
55,0,8,11,92,84,8,5,5,64,4,98,89,5,3,11,116,77,81,4
96,7,10,81,2,78,80,8,10,4,75,83,74,6,77,7,11,5,4,9
74,8,10,76,84,6,3,101,98,11,7,12,5,4,94,88,6,100,6,99
6,88,7,116,70,6,7,82,80,90,91,97,12,6,10,5,23,76,94,31
