2,29,2,35,33,3,4,5,5,42,4,32,28,0,2,32,2,5,5,30,5,1,2,24,1,7,1,8,3,5,27,36,8,44,9,8,7,2,4,2,2,7,4,31,44,9,24,17,3,23,41,3,6,46,31,8,6,0,10,5,9,2,0,16,5,8,5,6,8,2,2,16,10,5,25,6,8,4,21,38,27,1,26,1,37,23,3,4,27,3,3,35,3,24,33,21,12,4,5,39,0,8,0,27,19,4,19,5,6,8,38,20,22,38,26,3,46,21,6,6,44,3,4,1,28,1,9,41,35,2,20,2,7,0,5,7,2,29,9,1,4,1,25,5,7,3,5,27,44,27,23,8,1,7,32,32,23,26,34,1,33,39,41,2,7,1,36,4,23
4,51,4,4,2,2,2,3,3,40,11,22,33,7,8,28,0,5,30,3,5,31,1,8,2,6,3,19,2,24,0,2,4,21,3,32,21,29,5,4,7,27,30,0,23,9,23,3,11,0,2,25,1,37,8,6,27,6,2,2,43,7,4,32,3,12,40,1,35,5,19,0,2,50,7,9,4,28,34,5,0,1,3,3,6,4,0,0,5,1,6,8,6,34,8,0,30,4,32,0,44,3,4,10,21,5,4,34,3,4,27,12,4,1,4,3,4,38,22,30,3,36,8,29,4,32,13,31,4,25,5,3,5,18,6,30,20,40,6,3,2,31,4,33,4,27,0,1,30,3,7,2,4,5,7,7,3,6,7,31,6,43,36,7,3,3,5,0,5
6,1,7,38,4,4,9,2,22,12,0,31,4,37,0,29,3,1,1,6,37,6,25,6,0,27,0,8,3,8,37,7,24,4,27,1,5,22,7,8,4,7,0,2,9,22,3,37,32,0,27,42,7,6,0,43,2,24,7,6,7,1,3,27,22,6,6,3,4,1,4,1,24,1,6,1,10,4,34,6,5,34,2,5,1,10,10,0,44,28,6,4,8,4,4,47,1,30,6,6,5,9,5,27,2,20,7,5,1,30,33,30,6,3,2,6,47,17,1,1,6,4,8,7,6,25,37,4,5,1,0,10,19,16,36,23,7,2,1,26,1,33,28,3,8,2,17,2,4,1,7,5,4,5,4,29,36,33,7,5,19,6,9,3,4,18,7,8,4
7,17,27,31,9,0,22,4,2,39,15,1,34,1,1,7,7,6,6,2,9,6,9,6,9,1,18,3,2,25,9,10,3,3,2,3,8,4,31,3,20,7,7,24,4,7,14,16,28,3,5,10,0,2,2,18,25,4,4,3,38,2,3,6,5,25,25,21,3,38,23,32,39,0,47,3,2,6,6,4,13,9,0,23,20,44,9,6,5,11,31,5,16,0,19,7,50,25,1,6,6,3,0,2,44,6,0,6,0,7,2,0,7,28,27,5,3,42,4,3,0,37,1,20,8,3,3,17,0,11,28,2,49,26,7,5,23,24,8,0,38,35,28,29,1,5,6,3,3,39,0,33,32,30,21,7,6,6,3,1,21,0,18,3,3,5,22,40,4
2,6,0,4,0,20,30,5,6,8,27,1,9,41,3,4,33,5,19,1,2,37,34,0,10,8,18,30,37,6,16,10,6,9,10,5,1,6,34,30,5,3,0,35,30,7,22,21,5,0,6,36,4,39,5,0,1,8,32,2,31,24,5,4,9,36,0,37,3,21,7,24,2,4,3,7,23,29,4,6,7,8,3,29,30,5,4,27,2,2,32,7,29,20,2,1,0,4,43,3,6,10,24,2,3,6,2,4,4,27,7,26,4,1,0,12,34,1,3,36,33,29,0,24,29,31,22,6,0,3,7,23,1,23,3,49,23,9,52,2,1,27,0,36,27,1,1,0,5,6,7,7,30,51,40,4,7,9,3,24,13,30,3,36,8,3,27,2,6
2,26,27,3,2,2,34,5,5,62,31,50,12,5,7,7,5,2,2,6,44,7,3,3,3,5,9,8,3,3,3,30,32,32,34,5,21,17,31,3,4,2,30,41,2,26,4,5,5,4,3,8,41,5,0,10,28,14,4,19,7,40,26,9,2,37,4,10,1,26,8,8,21,4,43,2,27,0,26,3,5,22,3,4,2,24,2,11,4,4,3,2,18,43,21,28,26,9,7,8,2,26,5,6,30,0,6,38,5,45,40,1,39,9,0,23,4,25,8,2,6,1,4,25,29,45,4,34,23,23,3,13,6,9,4,10,5,1,38,2,24,7,1,4,36,7,6,30,2,8,5,7,26,31,3,28,4,11,3,3,29,3,20,8,11,6,23,5,2
25,1,5,29,3,26,25,6,8,8,0,39,33,1,9,2,41,3,26,36,21,3,18,4,6,5,4,24,21,6,3,4,3,2,32,1,10,17,45,2,4,2,19,47,23,2,20,1,5,37,7,4,30,32,3,23,6,3,5,5,40,1,13,10,17,2,2,9,4,26,5,25,8,5,24,39,14,22,14,8,2,5,24,28,9,31,5,4,6,30,1,29,32,11,5,0,7,6,9,5,21,46,3,7,21,17,21,16,31,0,22,6,16,3,6,5,8,3,5,15,2,4,0,23,22,6,38,2,37,23,8,23,18,1,3,3,4,2,9,6,26,32,1,0,34,1,36,3,9,36,5,2,22,8,6,7,8,6,1,1,16,2,18,3,3,3,5,27,4
1,25,2,2,2,38,4,3,1,6,39,6,0,1,48,19,13,4,6,10,3,1,39,0,35,23,7,38,23,41,23,25,6,4,9,39,26,31,3,36,0,4,3,36,8,0,25,3,4,1,6,0,38,7,0,3,6,8,1,10,4,5,5,41,16,5,37,32,26,4,1,23,5,34,2,8,2,38,4,18,28,3,6,33,1,7,7,5,20,4,31,5,3,5,10,3,7,6,2,2,5,33,5,3,2,4,5,5,2,3,37,19,6,40,1,19,6,3,3,18,7,32,2,4,4,4,4,2,4,0,4,43,7,5,0,5,37,4,6,7,5,22,1,2,0,28,2,5,6,9,23,5,8,0,1,2,36,8,10,6,2,3,38,6,28,8,2,4,32
3,31,6,3,8,27,8,32,5,4,3,0,24,7,4,50,4,34,40,39,4,38,1,5,0,4,8,2,2,31,3,8,31,28,1,37,26,6,26,18,5,30,42,4,32,20,28,4,21,6,3,5,6,0,41,38,2,5,4,2,37,3,3,6,2,17,36,39,25,0,5,3,8,6,5,6,38,32,6,3,26,19,30,16,5,5,9,45,3,24,1,26,8,5,4,54,36,4,6,0,3,5,50,4,28,26,39,3,4,0,4,4,0,2,32,6,7,44,38,9,3,1,5,42,29,11,3,33,5,4,30,2,2,44,2,42,2,33,36,7,41,32,8,6,1,2,33,10,6,3,1,23,21,1,2,14,8,5,26,4,1,4,23,7,24,43,37,2,4
3,27,1,31,24,4,0,12,25,8,28,1,30,7,32,29,1,5,0,1,33,6,3,20,0,7,5,8,11,5,4,0,27,1,3,7,0,43,29,1,0,20,28,29,3,2,1,1,20,0,13,2,6,35,29,3,4,6,1,0,21,17,0,5,24,2,29,19,12,36,0,6,4,1,38,3,1,2,4,29,4,45,6,26,2,3,3,4,3,20,13,35,4,26,10,32,32,22,35,4,36,5,27,1,5,28,2,1,30,34,31,2,32,6,3,25,47,3,37,7,6,6,1,9,41,0,3,1,1,12,3,5,5,5,21,16,5,5,6,22,3,45,4,16,40,44,27,2,3,36,3,3,26,49,2,9,6,2,3,8,2,28,5,6,5,16,0,5,0
