6,91,88,84,13,9,12,76,76,76,9,10,76,7,69,10,54,83,5,96
1,104,75,8,12,84,6,11,95,5,7,12,77,83,4,9,9,13,56,80
110,11,87,8,13,75,61,6,13,94,6,81,5,8,62,6,104,47,7,102
6,77,6,81,88,79,8,81,76,8,90,85,77,74,14,11,81,2,84,8
86,102,5,79,14,11,13,86,105,89,11,10,4,80,81,13,12,7,1,10
67,70,4,12,10,3,10,7,0,9,90,83,10,88,3,10,102,11,10,15
61,5,104,94,6,85,7,14,12,15,57,12,62,72,12,53,90,11,70,87
11,7,80,4,3,84,69,10,86,87,76,12,10,12,6,4,98,96,13,65
6,2,75,72,8,3,76,4,82,76,74,4,63,8,63,10,10,3,104,67
15,103,10,73,73,2,88,4,76,79,103,94,5,66,8,93,90,8,5,13
81,92,15,94,10,10,14,9,7,86,8,108,9,66,92,9,3,75,9,90
81,6,79,74,13,12,14,8,9,88,95,79,93,1,71,88,12,22,92,62
12,11,90,10,60,84,12,3,101,81,86,12,5,86,101,3,90,88,94,7
68,46,7,105,12,99,8,9,81,71,4,6,56,8,75,101,8,10,106,93
3,7,85,6,0,94,86,85,91,13,17,12,89,83,1,105,5,87,7,107
5,8,87,11,66,85,5,2,86,75,87,77,0,73,4,61,78,10,88,86
10,89,14,61,87,6,73,94,5,91,58,11,81,5,81,113,85,90,95,80
72,7,5,63,9,87,6,94,11,6,12,83,10,74,67,4,11,90,9,97
4,95,5,80,6,84,11,88,73,109,74,65,9,16,7,6,6,11,84,10
3,3,94,8,68,88,95,90,84,74,3,4,66,91,74,83,4,79,72,5
12,82,84,9,67,88,81,77,9,76,7,12,9,94,64,79,9,12,69,59
94,88,12,82,100,11,9,10,9,12,96,72,77,12,98,3,100,72,16,102
76,92,89,72,109,8,12,12,81,8,79,11,7,104,8,7,76,12,9,9
99,90,5,0,41,10,97,10,87,6,9,88,78,13,89,13,13,16,15,6
9,11,82,67,72,84,11,10,13,9,95,102,15,66,3,11,10,95,89,9
70,78,82,58,103,11,109,7,6,79,53,108,8,94,89,71,14,83,4,76
8,3,11,10,80,92,72,8,78,75,9,10,63,5,95,13,16,10,84,91
6,73,90,7,94,10,80,9,12,10,85,75,80,8,7,10,113,11,6,98
5,6,104,81,5,10,68,96,1,11,96,105,10,96,96,12,86,95,51,74
95,72,2,90,9,5,66,82,91,7,79,92,9,90,10,75,3,105,8,78
5,57,93,12,74,62,68,95,67,6,10,80,4,2,95,97,103,5,11,104
76,9,9,9,11,8,14,95,6,90,5,7,86,7,3,88,6,90,85,76
63,52,76,10,77,77,95,78,6,8,9,83,12,87,78,7,89,8,10,78
102,8,8,10,67,102,12,9,72,88,9,101,6,92,12,4,83,1,68,79
6,0,69,7,92,58,8,82,13,12,85,88,106,97,5,7,93,68,9,69
2,10,10,95,86,5,81,95,7,10,8,6,3,9,9,85,0,8,11,87
10,5,100,14,6,7,18,10,87,7,102,85,95,10,92,7,22,103,78,9
6,86,93,87,7,76,7,92,74,76,66,91,82,90,2,7,3,12,9,63
3,10,5,81,7,78,91,9,9,4,3,95,90,95,94,7,9,83,83,97
77,8,81,13,8,76,78,11,9,83,80,13,11,84,7,87,99,94,81,11
6,11,88,9,93,29,64,79,90,108,64,98,4,89,69,81,6,11,85,88
84,7,75,6,91,78,88,8,59,13,11,86,70,80,71,10,8,8,72,4
53,8,76,10,94,97,4,7,89,97,10,65,51,83,7,73,7,95,9,4
79,9,63,64,93,9,81,111,86,103,10,0,76,82,86,5,0,9,83,64
7,79,13,9,9,79,76,12,8,90,101,72,91,78,7,92,89,105,1,82
10,7,4,6,4,87,9,6,9,9,90,11,8,13,85,0,99,97,77,11
80,78,92,7,90,74,9,17,61,6,97,79,11,8,9,100,3,6,77,7
6,9,78,7,68,88,64,109,104,95,71,1,85,8,96,11,109,93,80,68
4,109,83,12,84,11,107,84,84,8,9,102,15,10,3,12,7,10,3,73
8,7,9,9,72,13,82,66,10,8,113,6,83,9,5,87,97,83,9,17
69,83,82,88,5,9,17,11,80,100,84,11,82,6,61,10,73,3,2,9
2,73,85,90,86,69,5,84,85,74,10,96,93,9,14,102,85,5,98,12
97,10,74,11,56,96,14,24,78,92,1,17,94,11,12,74,81,79,9,75
9,77,5,9,10,15,89,91,9,12,14,12,12,6,15,102,6,74,14,79
13,5,68,3,101,3,72,5,5,7,85,9,9,13,5,10,76,68,57,74
6,8,11,86,78,5,4,88,10,65,83,9,94,91,75,10,73,98,9,5
80,77,75,95,4,10,83,6,3,69,19,8,9,84,98,8,25,6,79,9
9,82,6,9,94,2,3,74,6,95,8,10,106,80,111,66,92,11,24,81
13,94,4,75,7,14,8,4,11,2,12,12,8,13,11,80,93,4,10,69
4,8,2,0,12,8,7,10,95,73,0,91,8,77,9,5,81,15,100,81
75,76,75,10,6,9,71,12,19,14,86,9,63,87,4,4,6,89,89,94
73,9,2,11,92,6,94,59,8,86,7,88,11,84,10,10,2,58,9,99
72,4,9,79,94,90,8,74,15,73,86,14,90,11,83,12,75,10,9,2
85,11,88,89,69,92,87,81,86,7,74,88,73,104,91,8,78,88,68,68
81,1,80,8,83,74,96,13,12,79,4,91,94,12,96,84,77,74,76,5
11,5,12,73,80,68,59,79,85,13,88,8,93,94,4,8,76,10,83,69
94,72,9,65,5,91,8,11,6,14,7,92,66,11,75,7,2,14,1,9
9,79,89,68,7,72,82,9,70,84,84,65,71,72,110,11,101,69,89,69
92,10,4,7,74,68,13,82,94,77,5,7,12,94,99,6,93,10,99,85
9,74,3,61,6,9,75,11,6,103,12,6,7,76,10,90,8,101,90,56
4,89,76,14,81,8,6,82,81,97,12,93,1,11,19,77,7,8,8,7
