9,88,9,77,85,96,11,98,91,6,115,82,82,94,18,10,75,2,92,4
1,94,83,4,11,72,8,8,105,7,12,13,73,90,4,13,11,13,75,110
8,122,101,93,8,14,10,80,79,62,11,13,85,9,100,15,57,88,5,97
122,14,96,6,16,84,50,8,11,106,7,94,8,7,66,7,94,39,9,101
66,65,3,12,16,2,17,13,0,9,77,89,7,103,6,16,97,9,10,14
90,112,3,80,14,12,9,112,109,100,7,7,4,86,78,6,10,10,1,15
96,9,10,14,10,16,9,8,83,10,27,88,105,12,101,10,81,7,80,14
12,89,7,79,6,85,81,86,8,87,15,4,12,97,10,92,10,86,14,88
94,6,80,13,13,11,15,98,85,9,106,92,6,50,12,84,8,8,11,8
13,13,82,96,7,86,1,9,67,91,94,88,81,81,15,99,9,82,92,7
8,104,46,89,7,90,7,105,99,8,74,94,10,75,10,10,78,82,14,17
0,131,0,4,9,3,18,118,88,61,83,65,4,18,7,2,12,13,12,72
14,10,82,93,1,7,11,9,86,118,9,13,100,76,114,11,5,54,90,1
18,86,0,11,72,98,104,18,115,15,74,70,6,88,4,91,72,10,10,106
93,6,36,80,84,93,90,10,16,97,9,6,9,118,3,10,11,83,108,7
83,7,8,102,4,83,108,7,10,10,48,13,78,0,72,10,13,84,13,10
77,77,76,1,5,116,108,9,96,103,12,82,100,93,17,14,1,90,77,8
121,85,101,74,86,12,90,95,100,2,78,11,77,8,0,9,11,16,83,101
80,11,108,8,5,78,11,11,19,69,9,102,13,12,96,13,10,10,5,12
68,15,13,94,66,64,4,93,13,113,94,95,93,110,92,10,86,11,14,57
19,95,12,88,10,10,101,1,101,89,39,68,94,97,8,11,8,102,9,19
10,70,71,93,104,7,86,90,108,10,100,3,76,84,79,13,10,12,3,94
7,2,80,75,8,94,8,107,12,51,80,74,83,4,104,106,83,107,107,8
3,83,93,103,106,8,87,12,111,90,6,4,99,10,10,104,70,15,68,91
6,8,78,94,81,14,10,2,121,91,1,2,27,78,98,9,11,2,94,10
92,98,77,77,75,90,58,13,77,71,65,8,14,103,5,75,70,6,81,88
9,12,66,76,9,62,73,98,15,9,93,5,98,8,107,8,88,96,4,89
86,90,3,16,7,99,86,14,12,5,8,8,116,102,10,96,8,8,90,112
10,5,16,14,104,15,15,9,75,69,80,80,82,9,60,116,70,102,0,9
66,10,105,84,3,14,9,1,10,98,89,18,10,11,16,8,108,108,9,8
5,14,11,15,91,8,25,114,81,79,111,100,9,19,19,12,14,88,79,11
110,76,10,1,9,85,12,89,95,3,57,61,108,73,2,104,69,9,75,15
109,8,13,11,2,101,19,102,108,4,9,95,112,71,59,84,16,10,104,76
57,11,81,72,95,15,71,61,90,13,97,87,113,69,74,91,9,95,64,105
73,96,8,7,65,91,10,13,58,95,92,101,93,66,6,95,81,101,69,5
109,89,7,110,10,91,107,11,89,89,81,12,6,61,6,59,97,6,16,60
27,11,0,80,91,101,72,98,101,67,3,12,10,10,4,94,15,4,84,77
10,106,1,14,102,10,10,96,91,12,10,9,8,14,12,1,15,100,13,2
97,17,94,97,102,10,75,4,100,10,11,103,9,104,74,86,17,2,8,11
106,12,85,8,97,4,102,21,8,83,116,13,111,89,9,7,88,106,69,101
90,101,14,8,82,0,115,96,7,12,99,78,13,97,110,11,11,65,9,99
9,104,9,5,17,6,3,10,83,85,125,84,5,0,12,10,86,15,29,80
10,83,80,11,6,7,85,9,70,16,70,83,11,74,91,13,3,95,100,70
11,15,59,76,7,73,8,10,84,73,19,7,8,10,3,87,81,8,84,104
12,63,84,14,88,9,4,61,14,6,102,107,93,10,9,86,81,10,1,115
8,73,90,5,8,12,52,65,11,12,112,10,80,14,11,11,102,8,17,72
