7,97,57,28,5,80,9,84,11,8,53,79,0,68,88,82,10,73,112,77
14,4,16,4,41,52,9,5,8,8,90,91,85,77,12,14,11,19,9,7
75,77,3,104,14,78,52,13,1,71,3,3,7,4,90,17,6,8,15,85
2,88,117,3,6,60,37,11,7,73,75,12,7,10,7,66,13,68,57,90
55,5,10,6,2,9,13,11,10,120,78,13,79,77,116,8,30,10,9,7
86,12,103,11,16,66,11,6,69,84,3,12,70,10,9,98,9,7,86,66
93,7,4,17,77,8,9,9,63,7,76,12,92,58,2,59,68,71,69,8
8,9,58,9,106,73,7,6,10,92,12,71,87,10,93,11,71,15,68,2
11,120,95,6,85,87,18,4,13,1,80,69,12,77,12,18,94,3,10,0
82,9,55,16,12,91,10,33,1,12,88,10,91,85,9,79,76,10,8,10
7,3,9,83,86,8,55,2,7,11,98,5,81,112,18,78,50,5,70,53
9,74,108,71,4,14,62,12,105,62,89,7,64,4,78,81,83,17,11,73
80,9,13,90,96,47,9,26,86,30,15,74,78,11,12,11,8,8,108,61
10,6,77,97,4,7,12,10,89,10,85,82,75,8,5,4,85,57,9,96
72,8,3,10,12,77,73,101,15,95,10,33,4,11,86,67,68,50,109,4
4,90,4,89,16,11,5,10,15,14,80,88,14,69,88,9,13,10,6,9
75,5,5,91,39,87,12,4,6,99,82,26,54,5,3,6,70,7,71,9
96,9,66,14,5,5,73,94,87,14,8,3,9,77,81,95,5,11,8,55
87,4,70,98,11,82,14,10,10,10,10,9,9,4,3,80,10,5,14,0
58,92,0,14,60,6,3,13,100,61,7,12,13,88,86,5,6,3,105,39
2,14,86,69,4,57,10,12,9,12,7,4,4,4,12,69,16,84,52,0
69,66,0,83,73,58,41,62,4,83,3,10,58,12,1,6,7,2,79,80
46,2,76,87,60,7,66,68,8,1,9,15,10,6,93,75,0,9,75,9
14,68,104,11,0,90,5,6,3,14,61,67,39,110,10,7,7,38,5,8
59,74,11,79,14,3,9,6,74,10,2,9,16,68,10,8,3,9,103,2
9,73,3,10,105,7,67,91,12,79,9,6,10,5,82,3,100,5,9,9
13,87,36,52,0,80,83,96,14,62,2,49,10,91,4,81,92,56,88,9
83,6,9,15,97,80,3,6,3,4,57,15,9,71,28,57,15,50,84,9
6,12,71,103,75,69,12,16,78,63,92,3,81,8,57,8,65,45,9,6
52,96,77,108,12,8,12,104,10,65,8,66,13,6,5,81,5,61,78,3
95,16,8,10,59,6,8,71,17,13,7,11,10,11,18,108,15,76,6,57
83,68,17,9,11,71,62,8,14,1,59,7,76,13,10,4,10,16,90,10
115,7,91,73,63,6,9,18,109,4,16,7,81,71,11,14,13,6,27,0
27,11,77,50,80,56,23,78,81,89,13,62,12,12,7,10,8,64,74,5
62,80,8,67,91,4,75,63,96,87,89,70,71,12,7,13,7,95,5,13
5,97,77,106,72,12,7,85,69,9,11,4,4,6,78,8,43,55,20,74
13,96,48,12,5,122,9,69,12,5,39,13,74,7,99,78,16,64,62,30
32,103,38,4,11,8,28,8,1,12,11,9,15,10,80,68,57,94,57,65
65,8,59,61,11,38,74,8,6,19,5,7,7,96,7,52,14,85,7,56
10,13,82,47,84,11,12,77,23,37,88,8,57,9,6,7,4,10,93,3
79,67,74,7,6,77,21,79,6,88,6,101,11,96,42,6,11,2,87,11
6,10,91,6,125,13,5,86,11,4,9,50,5,81,4,92,76,14,3,14
6,63,68,92,80,40,94,12,64,84,9,86,57,13,82,4,1,60,54,80
13,100,3,12,8,7,35,93,7,89,9,108,86,50,32,5,12,60,11,110
80,97,4,11,25,83,13,72,5,63,11,9,11,6,108,4,17,12,58,86
89,14,83,60,71,12,15,13,96,12,67,72,4,80,1,89,78,13,85,102
8,62,55,11,56,9,45,6,40,48,83,88,87,11,12,2,98,73,12,7
4,100,6,73,6,67,82,11,7,8,89,6,122,77,91,5,5,89,42,58
65,10,51,64,71,7,28,10,4,104,14,17,91,5,81,66,105,17,14,6
11,99,25,11,13,7,14,78,8,66,77,10,0,7,9,6,8,15,9,7
7,13,52,11,4,8,8,8,70,13,48,15,20,40,14,5,117,58,94,13
71,8,4,84,3,128,14,84,9,103,56,10,5,9,30,5,60,13,0,90
5,58,46,51,68,105,2,7,78,78,60,3,57,6,2,73,48,12,96,12
69,14,12,83,12,8,6,12,55,53,71,10,13,47,55,68,8,4,11,89
5,78,61,15,98,118,5,6,2,4,95,10,2,81,10,30,43,8,78,67
76,31,97,6,77,8,8,24,6,8,77,74,9,89,87,65,89,66,69,100
15,5,64,84,12,109,2,64,8,49,69,10,8,13,73,53,46,80,9,8
17,4,20,9,0,109,6,89,78,93,41,7,85,9,10,0,87,98,8,7
15,2,46,77,84,83,15,8,9,10,7,13,2,97,11,16,86,6,8,10
5,9,86,51,73,7,9,7,71,75,72,93,104,82,14,72,4,11,3,12
108,1,43,88,11,8,11,11,10,13,7,4,41,101,9,12,45,81,12,8
8,77,31,90,15,98,74,14,9,64,56,0,36,82,0,103,2,6,12,99
6,14,62,10,63,4,11,80,71,5,5,10,20,12,74,11,15,85,64,10
78,3,57,71,71,8,13,5,4,12,19,6,3,13,11,7,11,8,82,10
4,53,12,9,9,3,66,32,83,6,19,7,98,8,5,9,85,11,64,80
