68,9
90,9
83,63
5,6
88,4
11,92
90,62
5,8
7,15
4,6
1,89
10,102
10,95
87,76
5,95
12,10
93,7
67,80
8,14
109,9
11,99
85,10
85,2
118,9
77,7
9,11
13,7
6,10
74,7
9,1
79,7
12,9
92,23
77,79
11,8
90,58
100,0
101,64
98,4
9,5
9,9
5,118
6,69
21,7
79,73
6,57
86,96
72,5
4,9
88,7
11,7
88,9
91,86
91,39
3,10
16,0
43,5
87,81
7,91
5,9
103,1
3,88
78,5
13,93
11,78
92,7
86,6
91,87
76,94
6,93
5,9
64,70
1,3
6,87
85,97
7,76
6,69
6,97
2,1
9,6
12,11
5,8
84,8
9,7
8,80
91,9
15,4
98,7
87,73
102,92
6,0
7,72
4,78
4,9
70,54
81,25
14,12
5,91
6,11
70,98
7,26
77,90
