99,107,7,83,12,13,12,112,115,98,8,9,4,89,95,9,13,12,1,16
6,95,11,77,93,85,9,100,93,6,104,83,86,88,13,12,80,2,100,5
68,84,4,12,10,4,13,12,0,4,90,92,7,97,4,9,110,11,16,15
110,8,105,11,14,75,54,9,11,99,8,86,15,11,73,10,107,50,9,108
7,109,97,86,12,14,16,84,80,73,12,10,74,11,92,17,57,89,7,106
1,93,81,6,18,90,15,7,104,7,7,12,71,95,4,15,6,14,72,105
60,1,16,13,8,9,12,17,14,95,14,13,79,102,91,95,85,11,17,13
14,11,67,95,84,90,99,88,78,84,70,6,9,106,83,1,96,77,15,15
10,75,9,13,86,103,6,21,12,9,13,78,10,102,83,3,13,96,115,9
8,13,9,106,115,96,97,10,98,8,112,98,6,15,90,99,109,8,15,13
89,98,9,11,5,2,5,11,5,6,99,12,0,9,11,9,10,100,12,125
90,97,11,89,83,11,93,10,101,14,8,12,9,12,9,12,18,111,62,105
11,89,7,32,93,54,77,80,89,8,92,79,75,66,12,7,106,106,76,73
101,6,104,11,11,99,13,11,10,86,3,9,89,100,10,13,89,8,99,9
108,14,88,11,82,90,5,12,7,80,105,88,10,117,10,10,11,98,16,84
15,15,80,11,94,9,6,108,3,10,86,15,76,7,87,79,114,106,94,125
89,91,85,85,10,1,7,5,7,8,11,14,15,12,95,2,95,7,94,93
113,101,111,8,12,121,14,12,101,92,7,122,106,11,98,11,102,11,3,104
103,104,68,15,91,76,10,10,97,13,12,5,5,85,84,103,87,12,89,9
8,65,6,16,7,10,90,119,53,93,99,7,72,87,7,9,57,14,85,15
100,111,9,10,11,83,11,93,15,66,8,71,86,96,8,86,94,8,82,5
10,97,13,105,1,8,15,1,16,6,85,10,7,86,95,12,90,59,10,7
103,5,105,89,98,8,100,98,96,9,3,13,9,14,5,61,3,101,9,10
3,9,12,9,70,80,14,20,100,8,99,7,9,9,72,75,13,80,70,79
15,9,9,13,9,12,4,12,5,10,110,10,6,12,118,11,98,7,90,8
4,97,94,12,14,84,110,9,10,13,13,7,97,10,84,78,6,66,14,93
13,0,8,12,11,7,84,103,95,97,86,86,20,100,12,7,116,93,89,88
14,85,8,101,13,6,99,76,82,97,88,112,11,116,11,11,19,13,68,95
8,12,16,86,98,110,71,13,10,10,99,102,76,104,78,14,104,12,87,3
89,88,4,16,7,96,99,5,67,15,7,98,83,0,10,99,11,7,9,108
90,12,13,13,9,7,9,7,7,1,77,11,10,90,73,84,74,86,7,12
10,15,71,12,7,10,72,87,13,12,78,10,13,15,5,10,106,7,6,97
83,90,99,9,8,104,111,10,109,2,111,11,78,6,5,16,89,8,7,14
9,4,96,77,68,10,80,104,7,7,78,34,11,6,107,14,9,70,7,13
121,102,14,75,11,74,10,10,77,20,108,5,13,13,100,102,102,107,14,90
11,92,88,4,11,93,8,67,12,90,111,77,3,18,10,75,79,20,96,86
7,97,12,105,103,10,86,10,11,16,96,10,102,105,8,6,83,100,110,12
13,90,69,79,12,85,82,95,6,10,99,97,106,11,11,10,6,15,92,84
7,81,95,85,16,15,13,66,11,5,87,64,93,12,5,55,10,8,103,101
