1,91,76,6,14,86,10,10,96,7,13,13,77,90,4,12,8,14,72,111
72,74,4,14,12,3,11,7,0,8,92,89,4,98,4,11,124,14,14,14
115,10,86,11,14,80,54,12,11,102,6,88,7,11,72,11,105,49,5,114
6,115,110,98,11,16,14,86,89,63,8,17,75,12,91,15,57,91,3,104
102,102,6,75,14,15,10,109,106,100,17,12,4,99,92,17,11,16,1,16
10,96,6,74,75,91,14,101,91,9,105,81,84,89,11,14,80,2,99,7
101,12,9,6,14,9,93,50,12,13,7,7,1,89,13,90,75,4,19,9
77,74,13,72,86,99,15,94,7,4,7,74,92,90,79,11,12,6,68,12
8,120,90,80,65,87,91,55,6,12,13,89,5,11,16,108,6,12,78,66
9,8,95,6,6,7,5,96,13,111,9,40,4,1,95,14,102,11,13,11
9,88,99,9,19,10,124,10,15,7,109,90,9,82,98,11,14,105,13,110
123,10,12,9,7,15,13,60,9,51,15,8,85,13,5,8,79,12,13,100
98,77,83,93,113,11,3,14,11,86,9,7,12,62,60,95,58,88,12,0
101,7,84,6,11,5,14,8,11,104,9,101,16,121,14,3,16,103,11,10
104,80,97,10,4,14,1,73,98,117,4,6,8,12,85,13,92,11,11,13
68,107,45,65,83,6,6,11,103,10,104,2,19,15,99,10,14,8,6,101
9,10,107,6,97,11,11,13,12,78,9,3,11,16,104,14,97,102,96,78
7,8,1,92,11,89,14,100,120,12,12,92,71,4,11,7,100,88,4,91
86,91,97,8,99,14,2,6,104,81,82,2,11,96,10,82,87,91,112,103
98,3,10,80,81,10,14,102,12,20,101,9,71,90,11,97,14,17,12,15
10,111,10,93,90,13,81,16,75,98,9,4,84,103,95,108,67,80,74,14
111,5,80,74,79,10,13,88,3,7,7,97,2,93,91,85,11,101,11,6
9,17,8,16,87,13,9,73,9,16,69,12,105,89,90,116,85,10,11,86
17,79,85,99,109,93,12,7,80,84,88,1,84,13,89,15,0,4,59,11
5,14,84,10,69,15,111,12,102,60,8,6,53,72,54,9,113,12,94,78
88,96,9,88,15,10,6,4,11,82,10,95,13,10,14,14,86,84,0,16
96,11,8,6,69,85,94,4,13,92,82,90,106,7,94,84,87,97,11,9
8,11,12,68,67,2,1,13,84,114,8,95,8,104,74,79,12,70,112,13
11,95,11,11,92,90,9,12,76,94,84,11,11,112,84,7,82,88,10,75
99,9,87,105,126,101,7,12,11,9,81,11,10,74,6,7,16,82,9,77
106,1,9,12,1,10,12,93,83,16,8,93,101,8,6,7,109,17,82,95
100,1,97,99,102,79,11,3,76,12,12,103,81,78,14,78,105,7,87,7
96,9,1,11,87,95,12,14,12,10,5,7,10,127,12,105,91,105,14,66
10,6,88,109,14,93,108,7,67,77,92,80,94,79,81,2,98,82,12,6
109,1,8,66,120,7,7,13,96,9,94,92,0,7,9,88,79,48,76,16
99,9,8,10,66,9,113,12,9,0,14,11,86,7,19,101,100,10,7,86
10,12,100,104,9,115,8,81,74,96,90,79,107,7,87,85,12,85,95,74
13,14,12,1,13,1,7,109,13,14,93,5,9,11,11,14,107,7,1,6
6,9,16,3,15,71,14,90,92,68,11,12,102,9,93,0,109,9,14,90
6,90,12,19,15,9,89,10,107,83,111,71,99,12,3,12,1,80,15,5
12,8,7,110,71,14,11,77,12,4,10,76,11,101,8,83,14,10,6,78
98,15,15,85,14,99,17,12,111,12,97,7,8,9,15,9,8,17,13,120
10,15,12,9,13,14,90,13,2,114,6,10,23,89,10,13,15,8,101,101
11,12,102,109,13,83,5,15,108,12,12,8,95,9,10,11,99,13,89,83
76,7,11,14,92,96,101,112,8,12,14,17,14,83,7,88,12,104,95,75
79,69,108,80,94,11,8,73,5,84,101,94,76,97,92,79,75,92,95,93
12,73,91,10,7,8,106,12,71,2,114,11,12,108,12,107,9,78,11,11
74,84,92,97,88,83,93,12,95,92,78,90,83,15,80,12,13,74,6,104
13,91,106,117,8,111,65,63,9,10,99,10,79,111,12,4,11,9,80,41
6,91,93,8,84,120,97,13,15,10,108,8,11,99,10,13,82,86,93,10
0,5,14,9,100,9,87,10,92,7,14,8,96,99,17,99,82,16,109,96
10,102,73,6,8,81,8,83,16,69,4,15,9,12,1,9,118,127,11,103
82,95,7,10,8,91,11,101,65,7,12,12,92,10,78,95,109,13,77,117
109,85,7,117,88,18,10,108,5,92,93,5,85,14,3,10,12,11,12,10
86,104,106,83,12,77,9,10,85,78,89,74,80,11,12,100,68,99,11,69
12,17,96,3,2,7,92,85,78,102,84,6,116,64,9,99,119,13,85,10
12,13,15,7,87,82,11,5,10,89,4,11,10,99,13,85,1,88,87,8
19,10,94,10,12,84,101,90,7,82,94,5,92,9,5,10,86,91,103,12
76,13,118,6,12,7,15,13,18,91,106,108,13,71,79,11,80,79,106,100
54,8,16,93,8,9,12,113,12,10,2,9,13,100,80,0,11,12,8,108
68,97,8,77,77,89,9,8,8,15,72,13,14,11,6,11,66,92,80,95
100,10,82,81,3,80,2,17,84,70,77,88,7,83,3,51,8,6,7,7
85,2,5,10,11,106,2,15,13,11,91,12,112,115,6,82,8,16,10,72
96,89,11,97,11,107,12,4,10,12,85,108,10,112,10,89,103,6,102,14
103,97,77,2,17,91,75,10,77,13,82,13,92,5,8,3,8,11,115,12
7,9,4,11,8,13,104,79,12,11,3,13,81,15,84,14,13,9,10,11
99,11,66,92,10,11,11,2,7,15,102,14,108,104,9,101,16,11,81,102
7,10,68,17,1,107,117,15,9,15,15,13,81,12,13,5,14,2,75,27
11,14,9,111,5,97,98,12,9,10,12,70,115,77,14,94,8,7,5,79
12,102,84,62,109,10,60,6,14,14,104,1,79,8,12,37,9,8,11,15
17,11,11,60,5,77,94,7,103,9,9,78,1,88,9,88,8,89,73,87
96,87,81,7,93,76,7,101,4,13,83,87,4,98,81,10,100,4,103,113
14,12,95,87,10,10,108,2,86,103,6,12,4,8,10,88,99,106,112,93
72,0,16,100,104,20,11,12,72,67,13,68,0,9,86,95,8,82,100,11
11,3,4,10,86,5,11,7,94,75,82,15,97,8,13,13,93,82,102,85
8,7,13,9,77,92,95,11,17,3,15,10,108,19,86,9,0,12,9,92
93,11,102,5,95,5,6,80,14,88,11,97,9,71,73,103,3,15,10,5
10,11,10,108,103,12,4,82,67,111,2,8,6,81,8,67,7,9,89,99
99,13,91,65,15,13,9,1,17,99,11,118,13,10,78,13,11,83,93,9
61,17,76,4,83,10,2,11,14,11,11,6,97,109,76,94,124,83,8,10
60,10,8,11,3,9,55,68,107,7,11,16,6,97,13,94,80,11,11,103
11,89,13,75,103,103,10,17,8,106,108,12,4,9,8,87,14,88,93,90
6,102,13,100,11,5,6,78,92,93,14,81,84,15,11,100,75,112,75,108
13,101,109,8,72,108,57,9,8,79,101,91,83,95,5,13,14,103,11,101
13,89,62,104,1,81,5,109,90,14,11,11,105,15,3,95,117,102,1,68
8,13,111,72,101,18,80,80,95,13,116,108,106,12,12,13,85,75,7,105
65,7,93,95,70,5,11,94,80,15,15,0,84,11,10,14,11,12,110,90
12,72,2,6,102,2,14,9,11,98,9,12,10,97,77,100,60,15,56,98
79,8,95,11,7,85,8,4,11,12,87,11,88,95,101,15,116,92,5,97
5,13,3,9,8,10,71,120,92,10,10,11,71,90,83,14,9,103,99,69
84,14,54,14,5,111,9,88,6,121,13,10,6,112,9,115,15,4,107,8
126,5,104,10,6,16,95,9,97,14,12,111,7,96,6,95,8,3,1,81
94,12,95,14,96,16,8,117,10,66,78,107,1,13,112,10,14,89,8,4
77,16,8,5,12,8,6,9,4,13,7,90,65,6,9,109,113,15,9,104
111,13,5,6,100,9,115,73,20,11,8,91,95,11,3,9,93,13,8,8
