6,9,36,41,31,26,3,28,10,10,0,29,24,21,22,5,2,38,6,6,54,24,9,8,5,3,7,19,5,6,3,3,3,3,23,40,2,30,4,27,4,6,6,2,19,21,32,6,1,39,3,2,3,1,6,11,9,21,6,3,7,28,24,19,3,28,29,27,5,4,28,36,5,24,12,21,39,19,7,2,29,46,8,4,17,12,2,1,5,47,24,2,29,28,1,30,31,4,3,5,3,0,4,2,29,29,2,3,24,44,3,15,26,25,5,0,7,6,25,3,14,27,28,46,6,20,5,8,30,10,24,3,33,6,8,1,5,4,23,20,32,32,4,26,1,29,4,6,5,9,40,5,3,5,2,19,5,2,5,30,34,19,27,8,39,37,23,0,5,10,3,0,30,26,7,40,5,1,23,5,29,38,5,33,24,19,35,3,32,31,17,4,5,6,28,15,33,8,30,53,7,16,6,5,36,10,9,23,4
6,6,4,5,5,7,23,5,20,2,3,13,29,20,37,23,7,23,15,1,4,5,21,5,44,5,30,6,4,2,0,29,8,6,8,50,36,0,6,30,7,3,28,2,3,3,31,1,19,7,25,5,29,3,4,19,23,5,1,4,5,27,7,24,5,7,34,2,29,7,35,4,36,3,3,0,29,20,7,29,6,29,28,37,14,14,30,2,34,20,1,33,7,4,34,21,8,0,22,1,4,1,33,57,6,7,29,28,8,12,8,18,21,21,8,2,29,25,29,2,1,16,7,11,36,6,17,41,4,38,6,6,26,27,17,5,30,3,27,32,44,0,10,39,24,2,22,26,32,23,33,5,5,34,43,21,26,4,8,7,32,8,5,28,26,2,2,25,3,18,2,5,7,21,2,3,34,11,23,12,1,33,28,3,31,5,3,19,8,31,15,16,3,26,35,8,0,1,8,37,33,5,1,37,4,8,5,10,5
27,5,17,10,6,5,3,6,34,3,3,8,45,7,27,31,1,39,6,9,20,11,24,22,22,29,2,9,1,4,23,39,13,17,10,29,4,40,24,25,4,26,4,8,25,4,18,5,5,43,0,7,30,22,1,3,0,5,1,28,1,27,24,39,3,25,8,1,5,23,6,48,31,7,32,4,5,1,0,43,26,6,32,45,0,39,9,28,30,23,3,25,4,31,33,37,6,1,31,18,47,6,5,9,9,2,23,6,1,3,24,16,34,31,33,24,6,2,19,6,4,12,5,1,17,8,25,7,34,28,0,37,2,21,28,6,4,3,2,5,6,41,4,3,0,4,5,6,3,9,7,8,3,21,3,3,10,6,30,24,2,0,32,3,10,26,4,35,27,2,7,36,23,30,2,0,7,7,5,7,3,40,5,25,6,0,40,20,39,16,20,3,4,5,3,6,31,26,14,20,22,16,39,27,18,33,6,0,29
6,22,5,5,4,20,8,4,1,15,1,7,3,48,39,7,8,18,29,37,29,3,7,6,5,10,2,1,2,7,6,5,3,5,19,24,5,24,21,36,5,21,5,5,15,0,33,17,4,4,0,15,3,4,3,3,27,3,2,33,35,6,21,5,32,5,22,3,6,20,43,1,4,22,16,4,1,1,29,39,28,25,5,26,5,6,0,32,23,25,23,14,31,3,4,36,19,32,44,29,7,5,4,6,2,24,8,26,10,34,29,42,33,42,41,3,32,3,37,26,20,32,24,4,23,46,2,48,33,22,5,22,33,30,32,31,23,4,26,0,42,2,5,2,21,27,5,17,36,46,14,4,20,3,8,29,26,10,10,7,7,7,6,36,36,6,30,7,4,22,5,4,35,5,3,6,26,32,8,18,3,30,5,39,20,28,9,6,36,53,4,1,35,12,27,19,10,7,5,1,1,34,27,2,26,21,7,20,6
21,34,32,38,27,1,3,7,5,37,3,2,0,30,29,37,3,28,18,28,7,5,0,5,4,5,8,7,37,4,26,22,31,3,31,27,5,0,32,21,38,24,5,44,2,28,5,5,8,4,28,17,4,9,5,4,23,24,34,37,52,0,28,0,17,4,19,38,4,1,0,25,3,5,31,3,22,3,4,4,33,11,1,30,5,1,6,48,6,4,49,9,29,6,38,22,5,0,2,0,7,3,30,7,4,1,7,38,25,32,3,1,7,1,37,11,19,42,2,31,5,5,29,5,7,15,42,18,8,6,29,6,39,3,6,6,34,5,4,6,4,5,5,21,2,10,2,6,5,32,2,1,4,5,29,7,7,5,15,7,6,4,27,22,0,8,1,21,34,4,3,44,7,5,5,32,24,8,17,37,2,30,0,27,9,0,35,34,24,27,4,3,39,27,30,7,39,42,34,0,22,6,3,33,3,25,4,4,1
33,8,10,32,5,28,0,5,4,4,2,10,35,2,23,8,8,5,18,8,3,27,1,3,37,33,5,2,2,37,0,2,8,19,6,12,7,3,23,35,3,27,36,32,24,6,4,24,7,35,4,23,7,4,10,2,20,6,37,32,7,3,3,0,24,41,3,3,25,7,16,20,5,28,5,4,17,29,31,5,33,8,6,36,32,3,8,4,33,30,1,31,33,20,35,2,7,3,5,1,14,2,48,6,39,2,55,29,3,5,54,9,36,7,1,5,30,3,37,2,21,7,7,6,10,37,5,23,7,12,2,7,30,42,3,27,5,2,4,6,42,30,7,3,32,7,0,30,34,5,5,7,21,7,32,4,25,6,6,35,37,7,1,30,22,34,35,6,6,8,25,20,31,9,6,17,24,3,7,11,34,25,24,36,6,39,5,6,7,20,28,28,44,30,39,3,8,9,21,33,1,1,29,35,0,7,5,54,5
15,17,1,7,5,35,34,3,29,33,6,7,0,25,7,43,2,41,5,40,52,25,5,6,5,8,3,39,5,8,47,8,6,27,36,8,1,44,5,21,37,23,50,3,37,5,23,5,7,3,34,6,4,7,34,1,7,5,3,4,3,32,27,6,26,0,40,3,5,6,4,4,29,21,5,8,36,31,4,4,35,33,37,7,6,6,2,29,7,5,2,6,7,7,5,1,2,24,6,3,6,32,3,34,44,7,31,28,28,0,1,5,27,33,7,5,30,22,39,16,0,6,31,7,7,6,4,5,2,3,5,31,4,8,36,5,4,0,33,8,6,36,6,32,1,4,3,9,13,27,2,54,41,28,4,35,3,24,7,4,6,27,36,35,31,4,3,2,20,5,2,6,5,5,28,7,37,34,29,22,32,28,27,25,0,10,6,9,4,5,41,7,3,5,7,6,34,9,5,6,3,3,2,32,7,45,3,8,0
39,39,8,16,27,17,3,47,35,36,1,6,21,28,4,4,39,13,8,0,22,12,36,2,43,5,3,49,23,39,45,7,6,34,3,7,2,4,4,40,6,41,12,5,4,4,35,4,1,43,4,2,8,3,8,37,46,28,7,4,4,19,4,15,36,14,35,7,4,6,34,2,8,25,23,4,13,40,6,4,26,3,4,5,3,24,43,7,11,30,42,31,32,17,5,22,6,13,4,23,1,35,43,36,37,27,32,28,5,6,5,5,21,5,41,25,29,26,31,36,5,4,1,5,3,8,4,7,4,8,3,37,0,31,36,6,2,5,8,26,25,23,20,29,32,33,8,17,35,26,2,7,3,7,37,27,27,4,0,31,7,5,5,38,7,19,14,37,31,5,25,18,20,1,4,6,30,21,35,6,3,4,39,1,18,3,7,4,26,36,5,7,35,37,25,11,6,43,15,9,1,15,4,33,17,34,8,16,20
27,5,35,1,5,22,2,4,1,14,3,6,2,32,3,39,33,3,7,3,2,6,9,5,8,3,34,5,6,21,11,5,27,5,42,42,26,4,3,7,8,37,3,5,2,4,3,4,6,41,4,39,50,51,7,47,8,44,27,24,3,33,28,49,0,5,4,7,4,4,1,42,6,5,23,32,40,29,7,3,1,2,1,5,8,2,8,1,5,2,29,7,4,25,6,6,5,4,0,41,3,32,7,2,30,20,5,28,6,30,36,18,19,2,2,53,2,3,27,2,2,5,49,5,31,1,58,2,7,10,2,33,4,32,14,1,32,34,1,37,26,3,8,8,4,5,23,8,10,32,40,28,5,9,30,31,42,39,31,4,3,11,6,23,7,4,43,23,4,7,6,3,18,8,19,7,27,34,33,3,3,1,46,5,3,29,7,25,35,5,3,4,4,4,8,20,31,42,21,41,47,4,18,42,39,0,5,6,46
5,4,5,4,9,25,6,4,24,6,5,42,8,37,9,1,25,12,20,5,2,2,8,32,2,3,5,7,3,42,8,33,5,31,28,40,1,7,4,2,5,4,22,24,39,0,6,47,7,5,22,26,32,8,5,27,23,25,18,1,9,17,34,34,4,7,6,4,4,30,2,5,8,3,3,24,3,25,11,40,31,5,22,4,0,41,33,2,28,8,6,26,32,27,4,33,4,7,11,4,25,3,20,31,4,37,4,12,36,17,19,3,24,31,5,22,1,1,49,14,2,41,1,30,8,34,36,6,27,6,5,38,5,17,5,11,4,16,1,3,5,2,25,17,4,4,37,5,3,3,6,35,9,19,25,42,19,27,11,2,41,1,0,6,21,4,9,2,29,6,3,3,0,17,3,5,36,21,7,6,5,4,37,38,5,24,4,3,8,3,23,4,18,33,11,41,0,2,4,5,2,10,6,35,26,7,9,21,5
