0,23,2,4,3,2,0,0,1,1,3,1,3,29,2,4,1,20,18,0,25,2,3,2,1,2,3,4,2,0,1,2,1,1,0,1,0,17,15,25,3,2,3,2,0,0,25,27,2,1,0,2,4,1,1,0,0,0,2,25,0,0,1,2,32,2,25,1,3,0,28,0,1,31,41,0,0,0,20,29,25,0,0,1,6,0,0,13,19,3,21,1,19,1,0,12,0,14,0,18,2,1,1,2,4,21,1,31,0,3,30,20,0,25,0,0,12,1,23,1,16,15,2,3,23,0,3,12,23,21,4,0,21,19,20,0,24,3,16,28,0,2,3,3,19,23,0,18,1,28,2,3,0,0,4,12,0,4,0,2,3,1,3,30,24,2,18,0,0,26,5,0,0,1,2,3,25,2,4,14,4,0,4,1,21,17,3,4,1,33,4,0,1,25,3,2,6,0,0,0,0,0,35,2,13,2,3,29,1
1,19,45,25,28,0,2,2,3,24,3,17,5,0,15,26,1,30,0,0,4,4,0,5,2,2,3,0,25,3,20,0,2,3,23,20,2,2,24,21,2,15,0,22,0,20,3,2,3,3,10,17,2,6,2,5,27,1,1,24,1,0,22,0,0,3,2,17,2,1,0,30,0,2,22,0,22,2,0,1,26,16,4,0,2,3,3,11,4,3,23,3,37,1,32,20,1,0,2,0,0,2,27,3,2,2,6,25,22,24,0,1,3,0,0,4,2,36,1,23,1,1,20,2,4,23,26,13,4,6,17,2,23,1,3,4,29,3,3,4,3,3,2,17,1,2,0,2,3,22,0,0,3,3,29,3,4,4,15,4,1,1,29,18,0,1,6,6,24,1,1,31,2,3,4,16,22,2,16,44,2,29,0,20,4,0,21,22,19,25,2,3,24,1,11,6,31,25,11,0,22,5,3,0,4,13,3,3,3
21,1,1,5,4,2,0,3,4,4,0,2,31,5,13,2,0,0,2,2,11,1,20,26,12,22,0,0,0,1,0,22,0,14,4,8,2,2,18,0,2,20,2,4,29,2,1,2,4,29,2,1,22,32,0,1,19,4,2,1,0,28,24,2,0,0,5,0,3,16,6,2,18,6,35,0,1,1,0,23,12,3,23,17,0,30,2,20,20,30,4,0,2,19,0,39,2,1,1,23,42,1,2,1,5,1,1,4,1,16,1,1,19,24,30,0,2,0,1,0,4,6,6,2,0,1,23,5,0,21,0,1,2,18,1,4,2,0,0,4,0,19,1,2,1,1,0,5,3,4,3,2,3,26,1,2,3,5,10,1,3,0,1,1,4,11,4,23,0,3,3,20,0,1,0,1,5,2,6,3,1,32,3,25,1,0,1,22,0,4,2,0,0,0,1,2,20,17,17,3,14,23,3,9,9,2,1,0,14
31,4,1,29,0,1,1,1,0,1,17,0,33,0,1,0,3,1,24,2,3,31,0,1,18,21,1,1,0,22,0,0,2,19,2,24,1,0,27,32,4,16,21,1,2,1,3,20,3,28,8,1,2,5,7,0,32,3,41,1,6,3,0,0,28,26,4,1,28,5,0,0,3,49,0,2,24,40,19,2,0,3,3,27,1,0,1,6,37,19,1,21,33,12,18,28,6,1,2,1,21,2,28,6,29,2,41,18,0,2,34,3,30,7,0,4,32,3,33,1,19,3,4,4,2,2,5,18,6,13,0,6,13,21,2,0,4,1,2,3,39,0,0,1,1,8,0,20,1,0,2,4,4,6,1,3,1,1,3,40,32,6,1,26,10,27,26,0,1,0,15,2,23,0,4,3,19,2,9,2,29,35,18,4,2,27,1,5,0,23,34,23,28,29,32,5,4,5,27,29,23,0,30,17,0,3,0,39,3
1,4,1,3,3,3,21,1,0,1,1,10,16,13,14,11,1,22,14,1,0,5,10,2,21,0,10,2,2,2,1,2,3,7,2,0,21,2,2,2,0,1,12,1,3,4,0,1,2,2,0,3,0,0,0,0,3,2,0,1,1,1,3,2,2,7,0,2,13,2,28,0,28,3,3,3,2,26,1,25,4,1,26,19,4,16,23,1,1,2,0,1,2,0,0,30,4,0,1,3,3,0,23,36,2,4,1,18,2,10,4,20,11,0,2,3,21,20,19,1,0,25,4,3,0,1,1,0,2,8,4,4,9,26,12,3,25,3,3,0,1,3,7,21,0,1,1,22,2,32,2,3,1,22,27,9,0,0,1,3,11,1,3,17,14,7,0,0,2,16,2,4,3,1,4,2,29,14,1,5,5,25,2,0,1,0,2,1,4,0,19,11,0,15,12,4,0,0,1,0,0,2,0,9,0,2,2,4,0
6,9,3,0,21,20,1,19,7,2,0,0,21,1,1,8,0,9,2,4,34,18,0,3,6,4,0,12,2,2,2,24,4,2,22,31,0,14,4,3,0,2,2,0,19,0,10,3,1,21,0,2,0,1,2,0,7,1,4,1,4,3,5,14,2,10,41,18,5,1,2,1,2,1,2,0,29,24,1,1,17,4,0,2,1,15,3,0,2,29,25,1,1,25,1,23,20,2,0,6,1,0,0,0,18,0,1,3,0,1,4,8,2,1,1,0,0,2,0,0,4,21,2,35,1,19,2,5,26,3,19,1,33,1,4,3,3,0,2,21,21,27,3,0,0,21,1,1,1,3,3,5,0,0,0,23,4,4,1,2,28,0,27,2,23,25,1,0,5,1,2,23,24,0,4,30,0,0,24,5,0,0,3,23,28,4,11,1,26,34,0,2,6,5,0,0,28,8,0,1,4,21,2,2,26,5,6,16,0
2,19,0,25,4,24,0,1,4,2,4,2,0,3,13,0,41,24,0,15,3,0,2,23,4,0,3,1,0,18,2,2,16,0,0,2,3,1,0,7,2,1,30,3,0,1,17,33,2,0,45,4,0,3,9,3,2,24,31,0,14,5,18,2,14,0,0,11,4,5,15,1,23,26,33,15,1,0,2,30,2,1,4,1,2,1,4,1,20,3,36,1,0,3,1,2,2,14,1,0,20,33,2,4,9,2,28,1,4,27,21,0,1,4,0,0,18,0,2,23,1,23,37,0,3,3,4,43,7,4,1,3,1,0,22,10,29,2,6,6,1,4,1,1,20,22,4,40,4,2,4,3,13,0,3,21,21,4,29,1,3,1,28,2,0,20,2,3,4,23,26,0,0,20,29,0,2,4,3,3,15,0,21,14,0,1,3,1,0,1,0,2,6,3,3,2,2,1,14,5,25,3,8,2,2,1,3,2,0
21,0,8,2,1,1,3,0,30,1,33,2,6,10,30,3,2,5,1,2,1,17,4,2,31,1,0,3,1,1,29,4,1,3,2,0,20,3,13,13,1,3,15,1,19,17,26,29,12,31,26,22,4,2,1,1,4,4,14,11,31,1,17,2,1,1,2,23,2,25,3,22,30,0,0,4,4,3,23,1,1,0,4,4,2,0,6,2,14,21,3,1,19,5,1,11,4,5,4,1,1,1,20,24,6,20,0,2,3,3,2,17,22,16,2,8,15,27,16,31,4,1,26,3,22,1,2,1,1,2,0,2,0,11,39,2,1,11,20,1,3,2,5,4,17,3,6,21,1,0,0,21,4,1,1,0,5,4,0,1,0,0,0,17,1,2,32,4,1,0,26,24,28,5,11,3,7,0,1,37,4,14,1,2,27,0,8,10,4,2,1,0,1,3,1,3,3,19,20,0,0,3,25,18,2,0,2,18,0
17,11,2,0,16,0,39,32,23,6,2,23,22,36,2,3,4,2,46,28,0,3,1,32,5,16,0,1,3,2,2,4,0,3,1,1,39,4,4,2,3,0,2,18,0,1,1,3,10,0,2,5,2,1,1,9,11,1,24,5,17,0,0,27,31,0,14,8,0,31,0,2,1,17,4,3,30,0,14,3,23,4,1,1,1,0,22,3,0,2,0,5,23,15,2,17,14,25,0,1,3,19,3,0,2,3,1,10,21,0,2,2,29,2,4,21,0,25,24,21,24,0,3,0,36,24,21,3,1,2,1,2,16,24,2,14,0,0,1,26,0,0,4,0,3,0,1,0,4,28,2,20,16,1,0,2,2,18,26,17,5,19,5,2,2,1,29,5,24,3,4,1,1,2,13,1,13,4,21,1,4,4,3,20,4,31,0,33,1,15,2,0,18,21,20,23,3,30,30,26,0,1,10,3,2,3,3,0,6
3,46,1,20,0,0,0,1,1,4,17,22,15,4,4,11,20,1,8,0,3,29,3,13,1,2,0,24,5,1,1,3,6,33,12,3,1,0,3,3,2,2,11,1,2,4,1,31,26,3,1,0,3,2,4,3,2,5,2,2,1,0,2,1,35,0,15,34,29,1,3,2,24,30,2,1,2,2,36,2,19,0,0,1,15,5,4,1,0,1,4,1,2,0,27,2,26,2,2,3,1,2,1,3,2,20,4,5,1,0,15,8,3,0,5,5,28,2,0,6,3,1,2,3,0,1,0,2,3,7,3,0,7,18,1,2,1,2,0,0,0,15,0,25,38,0,3,3,11,1,28,3,0,0,3,21,0,3,20,0,2,4,21,1,30,18,0,24,1,1,0,2,14,0,13,3,6,4,5,2,13,28,1,4,4,0,3,0,37,34,19,0,2,2,3,6,1,31,33,0,2,1,3,1,0,22,24,24,28
